domain,step
Hand-whittling wooden figurines,Sketch design on wood
Clay Sculpting,Choosing sculpting tools appropriate for project
Crafting Personalized Copper Garden Tags,Emboss with plant names
Antique Furniture Restoration,Carefully disassemble
Hunting (Traditional),Stalk prey
Woodworking (advanced - specific techniques),"Master advanced woodworking techniques like marquetry, woodturning, or bent lamination"
Making Bespoke Tin Candle Lanterns,Cut tin sheet
Producing Handmade Sausages,Cook or cure
Custom Light Fixture Design,"Select materials (metal, glass, etc.)"
Hand-sewing of cloth diapers,Finish edges with serger or zigzag stitch
Nail Art,Choosing nail polish colors or gel colors
Ferrofluid Sculpting,Experimenting with different base materials
Stained Glass Art,Apply flux to copper foil
Gift Wrapping, Place gift in center 
Traditional Tanning (Leather),Dye or oil as desired
Manual assembly of model kits,Identify parts and follow assembly instructions
Making Custom Molded Bath Bombs with Toys Inside,Mix dry and wet ingredients
Pet Grooming,Bathing pets
Papercraft (Model Making),Cut paper pieces
Leather Belt Making,Packaging belt for sale or gifting
Crafting Personalized Wooden Utensils with Laser Engraving,Design engraving
Crafting Custom Engraved Wooden Keepsake Boxes,Design engraving
Crafting Leather Bound Journals,Punch holes in paper and cover
Making Hand-Pulled Noodles,Rest dough
Pasta Making,Rest dough
Carpentry, Cut wood using saw 
Vehicle Maintenance,Inspecting exhaust system
Making Handwoven Grass Mats,Dry and prepare
Making Hand-Woven Chair Seats with Cattail Rush,Dry and prepare
Manual sharpening of knives,Hold knife at proper angle against stone
Building a Custom Workbench,Select heavy-duty wood
Building Customized Bicycle Panniers,Select waterproof fabric
Pottery Glazing,Firing pottery to appropriate temperature
Legal Contract Management,Protecting sensitive contract data
Custom Wool Blankets,Full (wash to shrink and thicken)
Traditional Moccasin Making,Choose soft leather or suede
Yarn Spinning,Wash & set the twist
Laundry Services,Loading washing machines
Upholstering a Chair,Attach fabric to chair
Metalworking (advanced), Create complex metal objects and sculptures
Creating Hand-Sculpted Polymer Clay Figurines,Design figurine
Costume Design,Research historical period/character
Playing a Puzzle, Start with the border pieces 
Creating Custom Bath Mats with Pebble Design,Glue securely
Legal Case Management,Closing case files
Terrarium Making,Planting selected plants into terrarium
Artisanal Mustard Making,Grind seeds to desired texture
Manual threading of beads,Thread beads onto string in desired pattern
Traditional Bookbinding,Cut cloth for cover
Manual threading of looms,Adjust tension and tie onto beam
Cleaning Services,Assessing cleaning needs
Crafting Artisanal Chocolate Bark with Edible Flowers,Sprinkle with edible flowers and nuts
Manual assembling of DIY furniture kits,Check alignment and tighten connections as needed
Clinical Trials Management,Randomizing participants
Making Bespoke Clay Oil Diffusers with Natural Patterns,Press natural objects for patterns
Manual pinning of clothing alterations,Mark areas to be altered with pins
Crafting Personalized Wooden Garden Signs with Pyrography,Burn design into wood
Content Creation,Scheduling content releases
Hand-building sandcastles,Smooth surfaces
Hand-spinning pottery,Smooth surfaces
Ice Carving,Smooth surfaces
Home Brewing (Beer),Ferment
Making Sauerkraut by Hand,Ferment
Making Mead (Honey Wine),Ferment
Winemaking,Ferment
Beer Brewing,Ferment
Home Brewing,Ferment
Hand-painting of miniature figurines,Prime figurine surface if necessary
Canoe Building (Traditional),Carve and hollow out log
Home Canning, Prepare canning jars and lids 
Jewelry Making,Inspecting for flaws
Glassblowing,Inspecting for flaws
Paper Making,Inspecting for flaws
Jewelry Making,Inspecting for flaws
Woodcarving,Inspecting for flaws
Stone Cutting,Inspecting for flaws
Pottery,Inspecting for flaws
Gemstone Cutting,Inspecting for flaws
Embroidery,Selecting threads
Glassblown Lighting Fixtures,Anneal to remove stress
Manual folding of laundry,Fold clothes neatly
Papercraft (Model Making),Detail
Painting (watercolors - advanced),Experiment with wet-on-wet and dry brush techniques 
Custom Wool Blankets,Inspect for warmth and pattern clarity
Customer Service Call Handling,Conducting satisfaction surveys
Staining Furniture,Strip old finish
Manual stretching of canvases,Staple canvas to bars starting in center
Candle Making (Soy Wax),Inserting wicks into center of containers
Construction,Framing walls
Construction Project Management,Framing walls
Manual braiding of hair for special occasions,Secure ends with elastic or decorative hair accessory
Hand-braiding of hair for special occasions,Secure ends with elastic or decorative hair accessory
Macrame, Build pattern 
Wool Felting (Sculptural),Add details with finer needles and colored wool
Mask Making,Paint & decorate
Traditional Painting (Oil),Build layers with glazing technique
Manual scraping of ice from surfaces,Select appropriate scraping tool
Laundry, Add detergent 
Fruit Preserving (Jam Making),Labeling jars with jam variety and date
Building a Modular Wine Rack System,Select wood or metal
Creating Custom Garden Trellises,Select wood or metal
Making Handcrafted Cheese Presses,Select wood or metal
Building a Customized Modular Shelving System,Select wood or metal
Pet Grooming (Advanced),Hand-strip coats
Paper Making,Preparing paper pulp
Willow Weaving,Inspect for strength and uniformity
Stained Glass Making,Cut glass
Making Custom Stained Glass Night Lights,Cut glass
Making Hand-Dyed Shibori Tablecloths,Dye with indigo
Artisan Hot Sauce Making,Inspect for taste and consistency
Tie Dyeing,Complying with safety regulations
Lotion Making,Labeling containers with lotion name and date
Mandala Drawing,Adding concentric circles or shapes
Model Railroading,Build realistic scenery
Window Washing (High Rise),Clean exterior windows on tall buildings
Manual threading of fishing lines,Thread line through guides on fishing rod
Travel Planning,Booking tours
Manual inventory counting,Record counts
Pottery,Packaging for sale
Leathercraft,Packaging for sale
Glassblowing,Packaging for sale
Leatherworking,Packaging for sale
Metalworking,Packaging for sale
Jewelry Making,Packaging for sale
Artisanal Liqueur Crafting,Sweeten to taste
Hand-whipping cream,Whip with whisk or electric mixer until stiff peaks form
Leather Wallet Making,Buffing leather for shine
Construction Project Management,Addressing project delays
Hand-crafting of stained glass art,Grind edges for smoothness
Calligraphy (advanced - specific styles), Create custom lettering projects
Manual decorating of sugar cookies,Add details and embellishments with piping icing
Crafting Handwoven Table Runners,Weave with patterns or stripes
Candle Making,Maintaining candle-making equipment
Candle Making (Beeswax),Maintaining candle-making equipment
Candle Making (Soy Wax),Maintaining candle-making equipment
Beeswax Candle Making,Maintaining candle-making equipment
Landscaping,Installing irrigation
Bread Making,Adding mix-ins/flavors
Custom Wool Blankets,Choose wool yarn
Crafting Custom Dog Bandanas,Sew on snaps or Velcro for closure
Clay Sculpting,Inspecting finished sculpture for flaws or imperfections
Glass Painting,Baking glassware to cure paint (if required)
Pasta Making,Roll and cut
Batik Fabric Dyeing,Dye fabric first color
Paper Cutting (Kirigami),Networking with other paper cutters
Felting,Agitate wool fibers
Crafting Artisanal Chocolate Bark with Edible Flowers,Pour onto parchment
Manual cleaning and oiling of firearms,Clean all parts with solvent and brushes
Construction,Sealing joints
Murano Glass Making,Incorporate colors and designs
Cookie Decorating,Baking cookies until golden brown and fully cooked
Tai Chi, Cultivate balance
Creating Handmade Reed Diffusers,Select container
Ikebana (Japanese Flower Arranging),Select container
Candle Dipping,Allowing wax to cool between dips
Soap Making (Cold Process),Packaging soap bars for sale or gifting
Soap Making (Cold Process),Packaging soap bars for sale or gifting
Building Wooden Ladders,Cut side rails and steps
Candle Carving,Selecting candle wax
Photography,Delivering to client
Upholstery,Delivering to client
Jewelry Making, Clasp closure
Building a Fire (Campfire - advanced), Safely extinguish the fire when finished
Manual twisting of soft pretzels,Form into pretzel shapes by crossing and twisting ends
Hand-crafting of ceramic pottery,Apply glazes and fire again for final finish
Photography Editing,Applying filters
Candle Making,Inserting wicks
Woodworking (advanced)," Apply advanced finishing techniques (French polish, marquetry)"
Hand-crafted pottery,Shape clay by hand
Canning and Preserving,Testing acidity levels
Soap Packaging,Packaging multiple units
Hand-stenciling of fabric,Prepare fabric and secure stencil
Hand-cutting of gemstones,Select gemstone and design
Brewing Beer,Select ingredients and recipe 
Hotel Housekeeping,Disinfecting bathrooms
Hand Carving Soapstone,Oil or wax to finish
Making Handcrafted Terracotta Pots,Shape pots by hand or on wheel
Basketry (Pine Needle),Gather pine needles
Clay Sculpture,Sketch design concept
Education Planning,Providing remedial support
Nail Art,Marbling or gradient techniques
Traditional Bookbinding,Fold sheets into signatures
Landscaping,Surveying terrain
Data Analysis,Tracking data trends
Embroidery,Choose stitches & colors
Bookbinding (advanced),"Utilize different binding styles (Coptic stitch, Longstitch) "
Fitness Training,Offering nutritional guidance
Creating Artisanal Flavored Toothpicks with Essential Oils,Soak toothpicks in essential oil blends
Playing a Card Game (advanced - creating a game)," Develop game mechanics (winning conditions, card abilities) "
Wine Making,Testing wine for taste/quality
Natural Perfumery,Blend for aromatic profile
Ferrofluid Sculpting,Researching ferrofluid properties
Hand-sculpting of pottery,Allow to dry partially
Manual sculpting of clay figurines,Allow to dry partially
Fishing,Preparing fish for cooking
Event Planning,Managing feedback
Calligraphy (advanced - specific styles), Practice drills and exercises 
Crafting Bespoke Paracord Bracelets,Cut paracord
Making Custom Paracord Survival Bracelets,Cut paracord
Digital Marketing Campaign Management,Measuring influencer impact
Crafting Hand-Stitched Quilts with Personalized Themes,Design quilt
Ceramic Repair, Glue fragments 
Healthcare Appointment Scheduling,Booking exam rooms
Mosaic Art,Spread adhesive on surface
Embroidery (Goldwork),Couch metallic threads
Building Customized Wood Fired Grills,Construct base and grill area
Ceramic Tile Making,Cut clay into tiles
Vinyl Record Pressing,Selling pressed records
Thatching,Prepare thatch (reed or straw)
Costume Making,Designing costume
Package Delivery,Offering delivery updates
Jewelry Making, Attach findings 
Shoe Making (Traditional),Attach and shape the sole
Handcrafted Leather Shoes,Attach and shape the sole
Hand-tying fishing lures,Tie materials onto hook using fishing knots
Gardening Maintenance,Inspecting for pests/disease
Construction,Setting up scaffolding
Manual shaping of dumplings,Place filling in center of wrapper
Crafting Silver Photo Frames,Cut glass and backer
Hand-waxing of skis or snowboards,Use iron to melt wax into base
Stone Carving,Smooth surfaces with flat chisel or rasp
Leather Wallet Making,Applying dye or finish to leather
Building a Handmade Acoustic Panel for Soundproofing,Design panel
Charcoal Drawing,"Choosing drawing surface (e.g., paper, canvas)"
Crafting Custom Embossed Velvet Pillows,Emboss using heat and pressure
Maintaining a Fish Tank, Feed fish a healthy diet
Jewelry Making,Photographing jewelry
Electronics Repair, Test functionality
Lacemaking, Manipulate bobbins 
Intarsia (Wood), Fit together like a puzzle
Gardening,Gathering gardening supplies
Birdhouse Making,Building nesting shelves
Origami,Create form
Taxidermy,Create form
Netsuke Carving,"Select piece of ivory, wood, or horn"
Beekeeping, Process beeswax
Crocheting, Single crochet 
Handcrafting wooden toys,Design toy
Artisanal Hot Sauce Fermentation,Select chili varieties
Building a Log Cabin,Chink gaps
Calligraphy Writing,Photographing calligraphy for portfolio or documentation
Crafting Personalized Slate Serving Trays,Seal slate
Crafting Bespoke Paracord Bracelets,Measure wrist
Making Custom Paracord Survival Bracelets,Measure wrist
Glass Bead Making,Remove from mandrel
Roofing,Inspect for damage
Pilates,Perform precise movements on mat or reformer
Beekeeping,Installing bees
Handcrafted Wind Chimes,Attach to top support
Textiles (Handloom Weaving),Create complex patterns using a variety of fibers
Manual dyeing of fabric,Rinse fabric thoroughly in cold water
Handcrafted Musical Boxes,Install mechanism in case
Fermentation,Storing fermented product
Traditional Tailoring (Bespoke Suits),Measure client for precise fit
Crafting Personalized Leather Key Holders,Punch holes for keys
Jewelry Repair,Polish & clean
Leather Belt Making,Stamping or embossing belt with design
Crafting Bespoke Garden Trellis with Forged Iron,Heat and bend iron bars
Making Traditional Stone Carved Seals,Carve with chisels
Bank Teller Transactions,Facilitating account transfers
Inventory Replenishment,Receiving incoming inventory
Beekeeping,Maintain hive health
Building a Cedar Planter Box on Legs,Apply sealant
Building a Hand-Painted Cornhole Game Set,Apply sealant
Traditional Carpentry (Building a Wooden Chair),Apply sealant
Staining Furniture,Apply sealant
Furniture Refinishing,Apply sealant
Hand-painted Ceramic Tiles,Bisque fire to harden
Juggling,Start with one object
Snowshoe Making,Bend and shape frame
Crafting Traditional Wooden Snowshoes,Bend and shape frame
Construction,Hanging doors
Soap Making (Cold Process),Combining oils and lye solution in mixing bowl
Bead Weaving,Adding clasps or closures for jewelry pieces
Food Preparation,Cooking on stove
Cooking,Cooking on stove
Willow Weaving,Dry completely to set shape
Manual shaping of gingerbread cookies,Bake until edges are golden brown
Manual shaping of sugar cookies,Bake until edges are golden brown
Soap Packaging,Adding branding elements
Hand-spun Yarn,Dry yarn
Restaurant Service,Delivering desserts
Bento Box Making,Labeling bento box with contents and date (if necessary)
Playing a Card Game, Deal cards 
Soapstone Carving,Teaching carving workshops
Soap Carving,Teaching carving workshops
Building a Portable Folding Camp Stool,Cut and assemble wood frame
Hat Making,Blocking hat base
Sculpting,Packing sculptures for transport
Soapstone Carving,Packing sculptures for transport
Soap Carving,Packing sculptures for transport
Beading,Incorporating spacer beads or findings
Producing Hand-Carved Stone Planters,Select stone block
Building a Handmade Leather Sling Chair,Cut and shape wood for frame
Pasta Making,Allowing dough to rest for optimal texture
Motorcycle Restoration,Repair or replace components
Social Media Management,Providing customer support
Prosthetic Makeup, Create mold 
Chainmail Making,Close rings
Knot Tying (Advanced),Practice under tension
Crafting Bespoke Wrought Iron Fences,Heat and hammer iron
Making Bespoke Wrought Iron Candle Sconces,Heat and hammer iron
Hand-sewing of quilts,Hand-quilt layers together
Baking,Creating icing/frosting
Quilting,Basting quilt layers
Basket Weaving,"Selecting basket weaving material (e.g., reed, cane)"
Building Customized Wooden Jewelry Organizers,Design organizer
Constructing Traditional Igloos,Trim for fit
Wooden Puzzle Making,Inspect for challenge and solvability
Bookkeeping (Manual), Prepare reports
Yoga, Breathe deeply 
Graphic Design,Creating vector graphics
Preparing a Guest Room,Dust & vacuum
Laundry Services,Implementing quality control measures
Supply Chain Management,Implementing quality control measures
Masonry,Lay bricks
Bricklaying,Lay bricks
Manual construction of brick walls,Lay bricks
Creating Bespoke Silver Cufflinks,Carve or 3D print mold
Spinning Wool (Hand-Spun),Dye yarn if desired
Manual lacing of corsets,Thread lacing through eyelets
Manual mixing of concrete,Combine mix and water in mixing container
Making Traditional Leather Books,Prepare leather
Making Hand-Poured Natural Wax Candles with Herb Infusions,Melt natural wax
Custom Fishing Lures Making,Design lure shape and function
Crafting Artisan Firewood Carriers,Sew edges
Childcare,Conducting developmental assessments
Making Hand-Stamped Leather Accessories,Stamp designs with tools
Plastering,Preparing surface
Heritage Brickmaking,Mix clay with water and sand
Creating Artisan Goat Milk Soaps,Melt soap base
Crafting Artisanal Soap Bars with Loofah Slices,Melt soap base
Tie-Dyeing Fabric,Ironing fabric to set colors and remove wrinkles
Manual crafting of paper flowers,Wrap petals around wire stems to form flowers
Paper Quilling,Packaging quilled art for sale or gifting
Ribbon Embroidery,Photographing ribbon embroidery for portfolio or documentation
Traditional Bookbinding,Cut paper to size
Bookbinding,Cut paper to size
Custom Leather Journal Making,Cut paper to size
Bookbinding,Assemble cover with text block
Applique,Cut fabric shapes
Model Making,Researching
Handmade Tile Coasters,Dry slowly to prevent warping
Historic Ship Model Building,Rig masts and sails with thread
Hand-painted Silk Scarves,Inspect for colorfastness and detail
Playing Board Game, Win the game (or achieve objective)
Hand whisking egg whites,Beat egg whites with whisk until stiff peaks form
Upholstery,Creating welting or piping
Leathercraft,Adding hardware
Leatherworking,Adding hardware
Woodworking,Adding hardware
Furniture Making,Adding hardware
Leathercraft,Adding hardware
Construction,Supervising progress
Household Budgeting,Implementing cost-saving measures
Hand-painting of miniature figurines,"Paint details such as eyes, clothing, and weapons"
Supply Chain Management,Managing customs clearance
Handmade Paper Making,Pour pulp into mould and deckle
Marbling,"Applying protective coating (e.g., varnish)"
Handmade Paper Making,Peel paper from felts
Perfume Making (Traditional),Label with ingredients and batch
Metal Jewelry Soldering,Allowing soldered joints to cool slowly
Home Brewing (Beer),Condition
Bento Box Making,Networking with other bento enthusiasts
Legal Contract Management,Consulting with clients on contract terms
Glass Bead Making,Clean bead holes
Handmade soap making,Label bars
Building Rustic Wooden Coasters,Seal with polyurethane or beeswax
Electronics Repair, Solder 
HVAC Maintenance,Check refrigerant levels
Barbering/Hairdressing,Washing hair
Clay Sculpting,Final firing clay sculpture in kiln
Clinical Trials Management,Monitoring participant adherence
Nail Art,Clean & shape nails
Welding,Selecting welding method
Fitness Training,Incorporating circuit training
Birdwatching,Use binoculars
Swimming,Build endurance
Indigo Dyeing,Inspect for even dye distribution
Manual setting of gemstones,Select gemstone and setting
Calligraphy and Illumination (Manuscripts),Select vellum or parchment
Building a Vintage-Looking Wooden Crate,Add vintage labels
Camping, Set up tent 
Handmade Pasta Making,Dry pasta slightly
Manual arranging of fruit baskets,Arrange fruits attractively in basket
Vehicle Maintenance,Charging batteries
Paper Cutting,Commissions
Medical Billing,Adjudicating claims
Metalworking,Forging
Making Custom Herb and Spice Blends,Select herbs and spices
Glass Bead Making,Shape bead while hot
Costume Design,Add accessories
Ikebana (Flower Arranging),Cut stems
Leather Dyeing,Touching up dye if necessary
Beeswax Wrap Making,Washing and drying fabric
Crafting Custom Knit Yoga Socks,Knit toeless and heelless socks
IT Support,Configuring network settings
Technical Support,Configuring network settings
Handcrafted Perfumery,Filter blend to clarify
Manuscript Illumination, Prepare parchment 
Hand stamping fabric patterns,Select stamp
Candle Dipping,Testing candles for quality
Natural Wool Dyeing,Dye wool in batches
Creating Custom Seed Bead Earrings,Attach to earring hooks
Dairy Farming,Filtering milk
Shoe Repair,Fixing broken straps
Fishing Net Making,Attaching floats and weights
Creating Handmade Seed Paper,Blend recycled paper with water to pulp
Paper Cutting,Mounting cutouts
Human Resources Administration,Distributing pay stubs
Legal Contract Management,Reviewing notice provisions
Hand-stamping of metal jewelry,Prepare metal blanks
Origami,Designing original origami models
Creating Hand-Tied Lavender Sachets with Vintage Fabric,Tie with ribbon
Medical Billing,Documenting treatments
Upholstery,Attaching fabric to furniture frame
Building a Hand-Painted Cornhole Game Set,Assemble frame and legs
Whittling,Apply oil or finish to protect wood
Crafting Custom Embossed Velvet Pillows,Choose velvet fabric
Photography Editing,Uploading photos from camera or memory card to computer
Calligraphy Writing,Practicing calligraphy strokes and letterforms
Traditional Plastering,Apply to lath or wall in layers
Millinery,"Work with feathers, veiling, & other materials"
Handmaking Bat Houses,Design house
Building Customized Dog Houses,Design house
Building a Miniature Dollhouse,Design house
Knife Sharpening,Cleaning blade
Hand-operating a loom,Advance warp and repeat process
Hand-weaving of textiles,Advance warp and repeat process
Rug Making (Hand-Knotted),Trim pile for even surface
Fishing,Keeping catch fresh
Hand kneading bread dough,Shape into loaves
Heritage Conservation (Artifacts),Stabilize fragile areas
Making Handcrafted Wooden Puzzles,Cut pieces with precision
Hand-stenciling of fabric,Apply paint or ink using stencil brush or sponge
Hand-stenciling of fabric,Apply paint or ink using stencil brush or sponge
Legal Document Review,Reviewing production sets
Handcrafted Doll Making,Knit or sew clothing and accessories
Traditional Canoe Building,Choose wood or bark
Beekeeping,Monitoring colony
Marquetry (Wood Inlay),Select veneers
Custom Perfume Oils,Adjust blend as necessary
Nail Care, Add nail art
Gardening,Monitoring for pests
Warehouse Operations,Implementing sustainability practices
Supply Chain Management,Implementing sustainability practices
Creating Handwoven Baskets from Recycled Materials,Cut into strips
Making Handwoven Rag Rugs,Cut into strips
Making Artisanal Fruit Leather in Dehydrator,Cut into strips
Paper Cutting,Framing paper art
Cake Decorating,Piping decorations
Legal Document Review,Scanning documents
Crafting Custom Dog Bandanas,Hem edges
Hand-sewn Clothing,Hem edges
E-commerce Order Fulfillment,Handling gift messages
Woodworking,Bending wood
Construction Project Management,Hiring subcontractors
Organizing a Closet,Remove all items
Planting a Vegetable Garden (advanced - specific techniques), Use companion planting strategies to benefit different vegetables 
Charcoal Making (Traditional),Extract charcoal
Manual shaping of gingerbread cookies,Roll out gingerbread dough to desired thickness
Bespoke Men's Shoes,Inspect for elegance and comfort
Crafting Hand-Painted Silk Fans,Paint with water-resistant dyes
Plumbing,Diagnosing problem
Food Preparation,Arranging garnishes
Making Artisanal Hardwood Floor Medallions,Assemble inlay
Building a Custom Inlaid Wooden Chess Board,Assemble inlay
Traditional Tin Can Lanterns,Fill with water and freeze
Crafting Artisanal Wooden Spatulas with a Natural Edge,Oil finish
Crafting Artisan Cutting Boards,Oil finish
Crafting Custom Engraved Wooden Spoons,Oil finish
Landscaping,Mowing grass
Digital Marketing Campaign Management,Iterating on campaign strategies
Creating Handmade Reed Diffusers,Pour into container
Creating Custom Knit Hats with Cable Patterns,Knit in the round using cable pattern
Basic Carpentry Project,Build a simple birdhouse or bookshelf 
Candle Making (Soy Wax),Selecting fragrance oils or essential oils
Candle Making (Beeswax),Polishing candle
Tiling,Prepare surface
Paper Marbling,Float colors on surface
Calligraphy,Writing characters
Wine Making,Test and adjust acidity and sweetness
Tax Preparation,Reviewing tax return
Tie Making,Cutting fabric to tie dimensions
Basket Weaving,Weaving sides
Basket Weaving,Weaving sides
Photography Editing,Sharing edited photos on social media or portfolio website
Wicker Furniture Making,Tighten and secure ends
Making Bespoke Ceramic Knobs for Cabinets,Shape into knobs
Vehicle Maintenance,Checking transmission fluid
Wooden Kayak Building,Apply epoxy and fiberglass for strength
Making Bespoke Bicycle Wheel Clocks,Add hour markers
Manual shoe shining,Polish shoes with cloth
Wood Burning (Pyrography),Erasing pencil lines (if used)
Marbling,Laying paper onto painted surface to transfer design
Quilting,Create sandwich with batting and backing
Customer Support Ticket Resolution,Analyzing ticket details
Perfume Making (Traditional),Select natural essences and oils
Legal Document Review,Reviewing correspondence
Ice Sculpting,Using chisels to refine details
Embroidery Digitizing,Simulating stitching sequence to identify potential issues
Taxidermy,Sewing skins
Hand-painted Miniatures,Sketch base colors
Bookbinding,Attach cover to textblock
Handmade Pottery,Cut from wheel with wire
Creating Custom Scented Bath Bombs,Press into molds
Hand-drawn Map Making,Sketch layout with pencil
Distilling (Craft Spirits),Operate stills
Hand polishing furniture,Buff surfaces with cloth
Laundry,Ironing if necessary
Natural Fabric Dyeing,Simmer fabric in dye bath
Traditional Weathervane Crafting,Test for free movement
Building Dry-Laid Stonewall Planters,Design planter shape
E-commerce Order Fulfillment,Arranging courier pickups
Making Custom Wooden Garden Labels,Cut wood to size
Handcrafting wooden furniture,Cut wood to size
Handcrafting wooden toys,Cut wood to size
Mosaic Art,Arranging tesserae on base to create design
Bank Teller Transactions,Activating credit cards
Car Maintenance,Refueling
Manual Coffee Roasting,Grind coffee beans for brewing
Canning and Preserving,Applying lids and bands
Furniture Restoration, Reupholster if needed
Herbal Medicine Preparation,Combine herbs with base
Handloom Weaving,Inspect for weave tightness and pattern accuracy
Manual reupholstering of furniture,Attach fabric to frame
Graphic Design,Seeking inspiration
Making Traditional Sleds,Select and shape wood
Tailoring,Pressing
Sewing,Pressing
Bookbinding,Pressing
Embroidery,Pressing
Sewing,Pressing
Hat Making,Pressing
Manual mixing of concrete,Mix thoroughly with shovel or hoe until uniform consistency is achieved
Hand-stitching of leather wallets,Hand-stitch leather pieces together
Hand-sewing of leather wallets,Hand-stitch leather pieces together
Retail Merchandising,Identifying trends
Tax Preparation,Completing tax forms
Crafting Handmade Quill Pens,Cut and shape tip
Sock Knitting,Continuing with desired stitch pattern
Hand Sewing,Knot thread
Manual Data Entry,Compiling reports
Drawing, Sketch initial idea 
Laundry Services,Maintaining machines
Furniture Restoration (advanced), Strip away multiple layers of old paint or varnish 
Beekeeping,Requeening colonies
Crafting Custom Engraved Wooden Keepsake Boxes,Select wood box
Sourdough Bread Making,Feeding and maintaining sourdough starter
Baking Bread (Sourdough),Feeding and maintaining sourdough starter
Manual decorating of wedding cakes,"Decorate with piped designs, flowers, or other embellishments"
Hairdressing,Balayage techniques
Knife Sharpening,Sharpening tools maintenance
Making Custom Stained Glass Night Lights,Design light
Basic 3D Printing, Print the 3D object and remove support structures (if needed)
Bread Baking,Scoring loaf or rolls with sharp knife
Paper Making,Teaching paper making workshops
Crafting Hand-Turned Wooden Bowls,Turn to shape
Hand Carving Wooden Salad Bowls,Turn to shape
Jewelry Making (Handmade),Solder/join pieces
Medical Billing,Issuing invoices
Film Photography,Shoot with vintage film cameras
Hand Painting Miniatures,Clean and prime figure
Macrame,Hanging macrame piece
Furniture Restoration,Strip old finish 
Furniture Restoration,Strip old finish 
Renaissance Faire,Interact with the public in-character
Chandlery (Candle Making),Place wick in mold
Constructing Traditional Igloos,Ventilate
Package Delivery,Collecting signatures
Clinical Trials Management,Training study staff
Hat Making,Storing hat making supplies
Wine Grape Growing, Train and prune 
Bookbinding,"Selecting bookbinding materials (paper, covers, thread)"
Creating Hand-Sewn Fabric Wallets with Multiple Compartments,Design wallet
Floral Arranging,Arrange in vase
Pottery Glazing,Layering glazes
Metal Jewelry Soldering,Maintaining cleanliness and safety in soldering area
Forging Kitchen Knives,Sharpen
Hand Forging Axes,Sharpen
Hand Forging Garden Tools,Sharpen
Handmaking Artisan Bread Knives,Sharpen
Beadwork, Weave or stitch
Hand-painted Ceramic Tiles,Inspect for color fidelity and clarity
Classic Car Restoration,Restore bodywork & interior
Cigar Rolling,Choosing binder leaf
Handcrafted Wind Chimes,Drill holes for hanging
Event Planning,Renting event equipment
Vinyl Record Pressing,Networking with recording artists
Creating Custom Suncatchers with Pressed Flowers,Seal edges
Terrarium Making,Monitoring terrarium for watering needs and plant growth
Making Bespoke Metal Garden Art with Plasma Cutter,Cut metal sheet with plasma cutter
Clay Sculpting,Displaying or mounting finished sculpture
Inventory Management in Retail,Restocking display areas
Metal Etching,Removing remaining resist
Inventory Management in Retail,Coordinating with vendors on recalls
Manual inventory counting,Compare to inventory list
Crafting Bespoke Metal Bookmarks,Punch hole for tassel
Building Customized Dog Houses,Add personalized nameplate
Herbal Salve Making,Allowing salve to cool and solidify
Glass Painting, Layer paint and create details 
Soap Making (Cold Process),Allowing soap to harden and cure for several weeks
Soap Making (Cold Process),Allowing soap to harden and cure for several weeks
Social Media Management,Revising posting schedules
Home Brewing (Beer),Sanitize equipment
Making Mead (Honey Wine),Sanitize equipment
Forging Kitchen Knives,Heat treat
Hand Forging Axes,Heat treat
Manual packing of picnic baskets,Select items for picnic
Stained Glass Crafting,Soldering joints
Beekeeping,Set up hive 
Traditional Potjiekos Cooking,Serve directly from pot
Creating Personalized Porcelain Mugs,Use porcelain markers or paints
Hand-crafting of wooden furniture,Cut wood to size using saws and other woodworking tools
"Fermented Beverage Making (Kombucha, Kefir)",Allowing secondary fermentation to proceed
Basket Weaving,Soaking materials
Terrarium Making,Replacing substrate
E-commerce Order Fulfillment,Optimizing warehouse layouts
Supply Chain Management,Optimizing warehouse layouts
Scrapbooking,Creating personalized gifts
Event Planning,Conducting post-event debriefings
Painting (watercolors - advanced), Capture atmospheric effects in watercolor paintings
Candlestick Making,"Assembling candlestick components (e.g., base, stem, holder)"
Metalworking (Forging),Heating metal in forge until it reaches forging temperature
Supply Chain Management,Sourcing suppliers
Building a Tree Bench with Integrated Planters,Seal or paint
Handwriting analysis,Draw conclusions
Candle Dipping,Repeating dipping process
Salsa Making,Experimenting with fruit or specialty salsas
Mandala Drawing,Teaching mandala drawing classes
Playing a Tabletop Role-Playing Game, Learn the rules of the game system 
Hand-embroidering of fabric,Thread needle with embroidery floss
Hand-stitching of embroidery samplers,Thread needle with embroidery floss
Education Planning,Encouraging creativity
Traditional Carpentry (Building a Wooden Chair),Sand all pieces
Artisanal Vinegar Making,Age in barrels to develop flavor
Graphic Design,Creating brand guidelines
Vehicle Maintenance,Testing alternator output
Herbal Tea Blending,Measuring tea and herbal ingredients by weight or volume
Crafting Personalized Metal House Numbers,Design numbers
Inventory Management,Rejecting damaged items
Creating Artisan Chocolate Truffles,Dip in chocolate
Artisanal Vinegar Making,"Inspect for clarity, acidity, and depth of flavor"
Event Planning,Creating event schedules
Embroidery Digitizing,Adjusting density and underlay for optimal stitching
Calligraphy and Illumination (Manuscripts),Paint miniature designs
Sailing (advanced),Navigate using celestial navigation 
Doll Making,Sewing doll body and limbs
Paper Quilling,"Adding embellishments (e.g., beads, crystals)"
Embroidery,Finish the back
